symbol,name
BUR,Burford Capital Limited Ordinary Shares
BURL,Burlington Stores Inc. Common Stock
BV,BrightView Holdings Inc. Common Stock
BVH,Bluegreen Vacations Holding Corporation Class A Common Stock
BVN,Buenaventura Mining Company Inc.
BW,Babcock & Wilcox Enterprises Inc. Common Stock
BW-PA,Babcock & Wilcox Enterprises Inc. 7.75% Series A Cumulative Perpetual Preferred Stock
BWA,BorgWarner Inc. Common Stock
BWG,BrandywineGLOBAL Global Income Opportunities Fund Inc.
BWNB,Babcock & Wilcox Enterprises Inc. 6.50% Senior Notes due 2026
BWSN,Babcock & Wilcox Enterprises Inc. 8.125% Senior Notes due 2026
BWXT,BWX Technologies Inc. Common Stock
BX,Blackstone Inc. Common Stock
BXC,Bluelinx Holdings Inc. Common Stock
BXMT,Blackstone Mortgage Trust Inc. Common Stock
BXMX,Nuveen S&P 500 Buy-Write Income Fund Common Shares of Beneficial Interest
BXP,Boston Properties Inc. Common Stock
BXSL,Blackstone Secured Lending Fund Common Shares of Beneficial Interest
BY,Byline Bancorp Inc. Common Stock
BYD,Boyd Gaming Corporation Common Stock
BYM,Blackrock Municipal Income Quality Trust Common Shares of Beneficial Interest
BYN,Banyan Acquisition Corporation Class A Common Stock
BZH,Beazer Homes USA Inc. Common Stock
C,Citigroup Inc. Common Stock
C-PJ,Citigroup Inc. Dep Shs Repstg 1/1000 Pfd Ser J Fixed/Fltg
C-PK,Citigroup Inc. Dep Shs Repstg 1/1000th Pfd Ser K
C-PN,Citigroup Capital XIII 7.875% Fixed rate Floating Rate trust Preferred Securities (TruPS)
CAAP,Corporacion America Airports SA Common Shares
CABO,Cable One Inc. Common Stock
CACI,CACI International Inc. Class A Common Stock
CADE,Cadence Bank Common Stock
CADE-PA,Cadence Bank 5.50% Series A 
CAE,CAE Inc. Ordinary Shares
CAF,Morgan Stanley China A Share Fund Inc. Common Stock
CAG,ConAgra Brands Inc. Common Stock
CAH,Cardinal Health Inc. Common Stock
CAL,Caleres Inc. Common Stock
CALX,Calix Inc Common Stock
CANG,Cango Inc. American Depositary Shares  each representing two (2) Class A Ordinary Shares
CANO,Cano Health Inc. Class A Common Stock
CAPL,CrossAmerica Partners LP Common Units representing limited partner interests
CARR,Carrier Global Corporation Common Stock 
CARS,Cars.com Inc. Common Stock 
CAT,Caterpillar Inc. Common Stock
CATO,Cato Corporation (The) Class A Common Stock
CAVA,CAVA Group Inc. Common Stock
CB,Chubb Limited  Common Stock
CBD,Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share
CBH,Virtus Convertible & Income 2024 Target Term Fund Common Shares of Beneficial Interest
CBL,CBL & Associates Properties Inc. Common Stock
CBRE,CBRE Group Inc Common Stock Class A
CBT,Cabot Corporation Common Stock
CBU,Community Bank System Inc. Common Stock
CBZ,CBIZ Inc. Common Stock
CC,Chemours Company (The) Common Stock
CCI,Crown Castle Inc. Common Stock
CCIF,Carlyle Credit Income Fund Shares of Beneficial Interest
CCJ,Cameco Corporation Common Stock
CCK,Crown Holdings Inc.
CCL,Carnival Corporation Common Stock
CCM,Concord Medical Services Holdings Limited ADS (Each represents three ordinary shares)
CCO,Clear Channel Outdoor Holdings Inc. Common Stock
CCRD,CoreCard Corporation Common Stock
CCS,Century Communities Inc. Common Stock
CCU,Compania Cervecerias Unidas S.A. Common Stock
CCV,Churchill Capital Corp V Class A Common Stock
CCVI,Churchill Capital Corp VI Class A Common Stock
CCZ,Comcast Holdings ZONES
CDAY,Ceridian HCM Holding Inc. Common Stock
CDE,Coeur Mining Inc. Common Stock
CDP,COPT Defense Properties Common Shares of Beneficial Interest
CDR-PB,Cedar Realty Trust Inc. 7.25% Series B Cumulative Redeemable Preferred Stock
CDR-PC,Cedar Realty Trust Inc. 6.50% Series C Cumulative Redeemable Preferred Stock
CDRE,Cadre Holdings Inc. Common Stock
CE,Celanese Corporation Common Stock
CEE,The Central and Eastern Europe Fund Inc. (The) Common Stock
CEIX,CONSOL Energy Inc. Common Stock 
CEM,ClearBridge MLP and Midstream Fund Inc. Common Stock
CEN,Center Coast Brookfield MLP & Energy Infrastructure Fund
CEPU,Central Puerto S.A. American Depositary Shares (each represents ten Common Shares)
CEQP,Crestwood Equity Partners LP
CEQP-P,Crestwood Equity Partners LP Preferred Units representing limited partner interests
CF,CF Industries Holdings Inc. Common Stock
CFG,Citizens Financial Group Inc. Common Stock
CFG-PD,Citizens Financial Group Inc. Depositary Shares each representing a 1/40th Interest in a Share of 6.350% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series D
CFG-PE,Citizens Financial Group Inc. Depositary Shares Each Representing 1/40th Interest in a Share of 5.000% Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series E
CFR,Cullen/Frost Bankers Inc. Common Stock
CFR-PB,Cullen/Frost Bankers Inc. Depositary Shares each representing a 1/40th ownership interest in a share of 4.450% non-cumulative perpetual preferred stock Series B
CGA,China Green Agriculture Inc. Common Stock
CGAU,Centerra Gold Inc. Common Shares
CHCT,Community Healthcare Trust Incorporated Common Stock
CHD,Church & Dwight Company Inc. Common Stock
CHE,Chemed Corp
CHGG,Chegg Inc. Common Stock
CHH,Choice Hotels International Inc. Common Stock
CHMI,Cherry Hill Mortgage Investment Corporation Common Stock
CHMI-PA,Cherry Hill Mortgage Investment Corporation 8.20% Series A Cumulative Redeemable Preferred Stock
CHMI-PB,Cherry Hill Mortgage Investment Corporation 8.250% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
CHN,China Fund Inc. (The) Common Stock
CHPT,ChargePoint Holdings Inc. Common Stock
CHS,Chico's FAS Inc. Common Stock
CHT,Chunghwa Telecom Co. Ltd.
CHWY,Chewy Inc. Class A Common Stock
CI,The Cigna Group Common Stock
CIA,Citizens Inc. Class A Common Stock ($1.00 Par)
CIB,BanColombia S.A. Common Stock
CIEN,Ciena Corporation Common Stock
CIF,MFS Intermediate High Income Fund Common Stock
CIG,Comp En De Mn Cemig ADS American Depositary Shares
CII,Blackrock Capital and Income Fund Inc.
CIM,Chimera Investment Corporation Common Stock
CIM-PA,Chimera Investment Corporation 8.00% Series A Cumulative Redeemable Preferred Stock
CIM-PB,Chimera Investment Corporation 8.00% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
CIM-PC,Chimera Investment Corporation 7.75% Series C Fixed-to-Floating Rate  Cumulative Redeemable  Preferred Stock
CIM-PD,Chimera Investment Corporation 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
CINT,CI&T Inc Class A Common Shares
CIO,City Office REIT Inc. Common Stock
CIO-PA,City Office REIT Inc. 6.625% Series A Cumulative Redeemable Preferred Stock
CION,CION Investment Corporation Common Stock
CIR,CIRCOR International Inc. Common Stock
CIVI,Civitas Resources Inc. Common Stock
CL,Colgate-Palmolive Company Common Stock
CLB,Core Laboratories Inc. Common Stock
CLCO,Cool Company Ltd. Common Shares
CLDT,Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest
CLDT-PA,Chatham Lodging Trust (REIT) 6.625% Series A Cumulative Redeemable Preferred Shares of Beneficial Interest
CLF,Cleveland-Cliffs Inc. Common Stock
CLH,Clean Harbors Inc. Common Stock
CLPR,Clipper Realty Inc. Common Stock
CLS,Celestica Inc. Common Stock
CLVT,Clarivate Plc Ordinary Shares
CLVT-PA,Clarivate Plc 5.25% Series A Mandatory Convertible Preferred Shares
CLW,Clearwater Paper Corporation Common Stock
CLX,Clorox Company (The) Common Stock
CM,Canadian Imperial Bank of Commerce Common Stock
CMA,Comerica Incorporated Common Stock
CMC,Commercial Metals Company Common Stock
CMCM,Cheetah Mobile Inc. American Depositary Shares each representing fifty (50) Class A Ordinary Shares
CMG,Chipotle Mexican Grill Inc. Common Stock
CMI,Cummins Inc. Common Stock
CMP,Compass Minerals Intl Inc Common Stock
CMRE,Costamare Inc. Common Stock $0.0001 par value
CMRE-PB,Costamare Inc. Perpetual Preferred Stock Series B (Marshall Islands)
CMRE-PC,Costamare Inc. Perpetual Preferred Series C (Marshall Islands)
CMRE-PD,Costamare Inc. 8.75% Series D Cumulative Redeemable Perpetual Preferred Stock
CMRE-PE,Costamare Inc. 8.875% Series E Cumulative Redeemable Perpetual Preferred Stock par value $0.0001
CMS,CMS Energy Corporation Common Stock
CMS-PB,CMS Energy Corporation Preferred Stock
CMS-PC,CMS Energy Corporation Depositary Shares each representing a 1/1000th interest in a share of 4.200% Cumulative Redeemable Perpetual Preferred Stock Series C
CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078
CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079
CMTG,Claros Mortgage Trust Inc. Common Stock
CMU,MFS Municipal Income Trust Common Stock
CNA,CNA Financial Corporation Common Stock
CNC,Centene Corporation Common Stock
CNDA,Concord Acquisition Corp II Class A Common Stock
CNDB,Concord Acquisition Corp III Class A Common Stock
CNF,CNFinance Holdings Limited American Depositary Shares each representing  twenty (20) Ordinary Shares
CNHI,CNH Industrial N.V. Common Shares
CNI,Canadian National Railway Company Common Stock
CNK,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock
CNM,Core & Main Inc. Class A Common Stock
CNMD,CONMED Corporation Common Stock
CNNE,Cannae Holdings Inc. Common Stock
CNO,CNO Financial Group Inc. Common Stock
CNO-PA,CNO Financial Group Inc. 5.125% Subordinated Debentures due 2060
CNP,CenterPoint Energy Inc (Holding Co) Common Stock
CNQ,Canadian Natural Resources Limited Common Stock
CNS,Cohen & Steers Inc Common Stock
CNX,CNX Resources Corporation Common Stock
CODI,D/B/A Compass Diversified Holdings Shares of Beneficial Interest
CODI-PA,Compass Diversified Holdings 7.250% Series A Preferred Shares representing beneficial interest in Compass Diversified Holdings
CODI-PB,Compass Diversified Holdings 7.875% Series B Fixed-to-Floating Rate Cumulative Preferred Shares representing beneficial interests in Compass Diversified Holdings
CODI-PC,Compass Diversified Holdings 7.875% Series C Cumulative Preferred Shares
COF,Capital One Financial Corporation Common Stock
COF-PI,Capital One Financial Corporation Depositary shares each representing a 1/40th interest in a share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series I of the Issuer
COF-PJ,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non- Cumulative Perpetual Preferred Stock Series J
COF-PK,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series K
COF-PL,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series L
COF-PN,Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series N
COHR,Coherent Corp. Common Stock
COLD,Americold Realty Trust Inc. Common Stock
COMP,Compass Inc. Class A Common Stock
COOK,Traeger Inc. Common Stock
COP,ConocoPhillips Common Stock
COR,Cencora Inc. Common Stock
CORR,CorEnergy Infrastructure Trust Inc. Common Stock
CORR-PA,CorEnergy Infrastructure Trust Inc. Depositary Shares each representing a 1/100th fractional interest of a share of 7.375% Series A Cumulative Redeemable Preferred Stock
COTY,Coty Inc. Class A Common Stock
COUR,Coursera Inc. Common Stock
CP,Canadian Pacific Kansas City Limited Common Shares
CPA,Copa Holdings S.A. Class A Common Stock
CPAC,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares)
CPB,Campbell Soup Company Common Stock
CPE,Callon Petroleum Company Common Stock
CPF,Central Pacific Financial Corp New
CPG,Crescent Point Energy Corporation Ordinary Shares (Canada)
CPK,Chesapeake Utilities Corporation Common Stock
CPNG,Coupang Inc. Class A Common Stock
CPRI,Capri Holdings Limited Ordinary Shares
CPS,Cooper-Standard Holdings Inc. Common Stock
CPT,Camden Property Trust Common Stock
CPTK,Crown PropTech Acquisitions Class A Ordinary Shares
CR,Crane Company Common Stock
CRBG,Corebridge Financial Inc. Common Stock
CRC,California Resources Corporation Common Stock
CRD-A,Crawford & Company
CRD-B,Crawford & Company
CRGY,Crescent Energy Company Class A Common Stock
CRH,CRH PLC Ordinary Shares
CRI,Carter's Inc. Common Stock
CRK,Comstock Resources Inc. Common Stock
CRL,Charles River Laboratories International Inc. Common Stock
CRM,Salesforce Inc. Common Stock
CRS,Carpenter Technology Corporation Common Stock
CRT,Cross Timbers Royalty Trust Common Stock
CSAN,Cosan S.A. ADS
CSL,Carlisle Companies Incorporated Common Stock
CSR,D/B/A Centerspace Common Stock
CSR-PC,D/B/A Centerspace 6.625% Series C 
CSTA,Constellation Acquisition Corp I Class A Ordinary Shares
CSTM,Constellium SE Ordinary Shares (France)
CSV,Carriage Services Inc. Common Stock
CTA-PA,EIDP Inc. Preferred Stock $3.50 Series
CTA-PB,EIDP Inc. Preferred Stock $4.50 Series
CTBB,Qwest Corporation 6.5% Notes due 2056
CTDD,Qwest Corporation 6.75% Notes due 2057
CTLT,Catalent Inc. Common Stock
CTO,CTO Realty Growth Inc. Common Stock
CTO-PA,CTO Realty Growth Inc. 6.375% Series A Cumulative Redeemable Preferred Stock
CTOS,Custom Truck One Source Inc. Common Stock
CTR,ClearBridge MLP and Midstream Total Return Fund Inc. Common Stock
CTRA,Coterra Energy Inc. Common Stock
CTRE,CareTrust REIT Inc. Common Stock
CTS,CTS Corporation Common Stock
CTV,Innovid Corp. Common Stock
CTVA,Corteva Inc. Common Stock 
CUBB,Customers Bancorp Inc 5.375% Subordinated Notes Due 2034
CUBE,CubeSmart Common Shares
CUBI,Customers Bancorp Inc Common Stock
CUBI-PE,Customers Bancorp Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series E
CUBI-PF,Customers Bancorp Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series F
CUK,Carnival Plc ADS ADS
CULP,Culp Inc. Common Stock
CURO,CURO Group Holdings Corp. Common Stock
CURV,Torrid Holdings Inc. Common Stock
CUZ,Cousins Properties Incorporated Common Stock
CVE,Cenovus Energy Inc Common Stock
CVEO,Civeo Corporation (Canada) Common Shares
CVI,CVR Energy Inc. Common Stock
CVII,Churchill Capital Corp VII Class A Common Stock
CVNA,Carvana Co. Class A Common Stock
CVS,CVS Health Corporation Common Stock
CVX,Chevron Corporation Common Stock
CW,Curtiss-Wright Corporation Common Stock
CWAN,Clearwater Analytics Holdings Inc. Class A Common Stock
CWEN,Clearway Energy Inc. Class C Common Stock
CWH,Camping World Holdings Inc. Class A Common Stock
CWK,Cushman & Wakefield plc Ordinary Shares
CWT,California Water Service Group Common Stock
CX,Cemex S.A.B. de C.V. Sponsored ADR
CXAC,C5 Acquisition Corporation Class A Common Stock
CXE,MFS High Income Municipal Trust Common Stock
CXH,MFS Investment Grade Municipal Trust Common Stock
CXM,Sprinklr Inc. Class A Common Stock
CXT,Crane NXT Co. Common Stock
CXW,CoreCivic Inc. Common Stock
CYD,China Yuchai International Limited Common Stock
CYH,Community Health Systems Inc. Common Stock
CZOO,Cazoo Group Ltd Class A Ordinary Shares
D,Dominion Energy Inc. Common Stock
DAC,Danaos Corporation Common Stock
DAL,Delta Air Lines Inc. Common Stock
DAN,Dana Incorporated Common Stock 
DAO,Youdao Inc. American Depositary Shares each representing one Class A Ordinary Share
DAR,Darling Ingredients Inc. Common Stock
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share)
DB,Deutsche Bank AG Common Stock
DBD,Diebold Nixdorf Incorporated Common stock
DBI,Designer Brands Inc. Class A Common Stock
DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest
DBRG,DigitalBridge Group Inc.
DBRG-PH,DigitalBridge Group Inc. 7.125% Series H 
DBRG-PI,DigitalBridge Group Inc. 7.15% Series I 
DBRG-PJ,DigitalBridge Group Inc. 7.125% Series J 
DCF,BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund Inc. Common Stock
DCI,Donaldson Company Inc. Common Stock
DCO,Ducommun Incorporated Common Stock
DCP-PC,DCP Midstream LP 7.95% Series C Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units
DD,DuPont de Nemours Inc. Common Stock
DDD,3D Systems Corporation Common Stock
DDL,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares)
DDS,Dillard's Inc. Common Stock
DDT,Dillard's Capital Trust I
DE,Deere & Company Common Stock
DEA,Easterly Government Properties Inc. Common Stock
DECK,Deckers Outdoor Corporation Common Stock
DEI,Douglas Emmett Inc. Common Stock
DELL,Dell Technologies Inc. Class C Common Stock 
DEN,Denbury Inc. Common Stock
DEO,Diageo plc Common Stock
DESP,Despegar.com Corp. Ordinary Shares
DFH,Dream Finders Homes Inc. Class A Common Stock
DFIN,Donnelley Financial Solutions Inc. Common Stock 
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock
DFS,Discover Financial Services Common Stock
DG,Dollar General Corporation Common Stock
DGX,Quest Diagnostics Incorporated Common Stock
DHF,BNY Mellon High Yield Strategies Fund Common Stock
DHI,D.R. Horton Inc. Common Stock
DHR,Danaher Corporation Common Stock
DHT,DHT Holdings Inc.
DHX,DHI Group Inc. Common Stock
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest
DIN,Dine Brands Global Inc. Common Stock
DINO,HF Sinclair Corporation Common Stock
DIS,Walt Disney Company (The) Common Stock
DK,Delek US Holdings Inc. Common Stock
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests
DKS,Dick's Sporting Goods Inc Common Stock
DLB,Dolby Laboratories Common Stock
DLNG,Dynagas LNG Partners LP Common Units
DLNG-PA,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units
DLNG-PB,Dynagas LNG Partners LP 8.75% Series B Fixed to Floating Rate Cumulative Redeemable Perpetual Preferred Units liquidation preference $25.00 per Uni
DLR,Digital Realty Trust Inc. Common Stock
DLR-PJ,Digital Realty Trust Inc. 5.250% Series J Cumulative Redeemable Preferred Stock
DLR-PK,Digital Realty Trust Inc. 5.850% Series K Cumulative Redeemable Preferred Stock par value $0.01 per share
DLR-PL,Digital Realty Trust Inc. 5.200% Series L Cumulative Redeemable Preferred Stock
DLX,Deluxe Corporation Common Stock
DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest
DM,Desktop Metal Inc. Class A Common Stock
DMA,Destra Multi-Alternative Fund Common Stock
DMB,BNY Mellon Municipal Bond Infrastructure Fund Inc. Common Stock
DMO,Western Asset Mortgage Opportunity Fund Inc. Common Stock
DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock
DNB,Dun & Bradstreet Holdings Inc. Common Stock
DNMR,Danimer Scientific Inc. Common Stock
DNOW,NOW Inc. Common Stock
DNP,DNP Select Income Fund Inc. Common Stock
DO,Diamond Offshore Drilling Inc. Common Stock
DOC,Physicians Realty Trust Common Shares of Beneficial Interest
DOCN,DigitalOcean Holdings Inc. Common Stock
DOCS,Doximity Inc. Class A Common Stock
DOLE,Dole plc Ordinary Shares
DOMA,Doma Holdings Inc. Common Stock
DOOR,Masonite International Corporation Ordinary Shares (Canada)
DOUG,Douglas Elliman Inc. Common Stock
DOV,Dover Corporation Common Stock
DOW,Dow Inc. Common Stock 
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.
DPZ,Domino's Pizza Inc Common Stock
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares
DRD,DRDGOLD Limited American Depositary Shares
DRH,Diamondrock Hospitality Company Common Stock
DRH-PA,Diamondrock Hospitality Company 8.250% Series A Cumulative Redeemable Preferred Stock
DRI,Darden Restaurants Inc. Common Stock
DRQ,Dril-Quip Inc. Common Stock
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests
DSM,BNY Mellon Strategic Municipal Bond Fund Inc. Common Stock
DSU,Blackrock Debt Strategies Fund Inc. Common Stock
DSX,Diana Shipping inc. common stock
DSX-PB,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands)
DT,Dynatrace Inc. Common Stock
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080
DTC,Solo Brands Inc. Class A Common Stock
DTE,DTE Energy Company Common Stock
DTF,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures
DTM,DT Midstream Inc. Common Stock 
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077
DUK,Duke Energy Corporation (Holding Company) Common Stock
DUK-PA,Duke Energy Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.75% Series A Cumulative Redeemable Perpetual Preferred Stock
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078
DV,DoubleVerify Holdings Inc. Common Stock
DVA,DaVita Inc. Common Stock
DVN,Devon Energy Corporation Common Stock
DX,Dynex Capital Inc. Common Stock
DX-PC,Dynex Capital Inc. 6.900% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
DXC,DXC Technology Company Common Stock 
DY,Dycom Industries Inc. Common Stock
E,ENI S.p.A. Common Stock
EAF,GrafTech International Ltd. Common Stock
EAI,Entergy Arkansas LLC First Mortgage Bonds 4.875% Series Due September 1 2066
EARN,Ellington Residential Mortgage REIT Common Shares of Beneficial Interest
EAT,Brinker International Inc. Common Stock
EB,Eventbrite Inc. Class A Common Stock
EBF,Ennis Inc. Common Stock
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share)
EBS,Emergent Biosolutions Inc. Common Stock
EC,Ecopetrol S.A. American Depositary Shares
ECAT,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest
ECC           ,Eagle Point Credit Company Inc. Common Stock
ECC-PD,Eagle Point Credit Company Inc. 6.75% Series D Preferred Stock
ECCC,Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031
ECCV,Eagle Point Credit Company Inc. 5.375% Notes due 2029
ECCW,Eagle Point Credit Company Inc. 6.75% Notes due 2031
ECCX,Eagle Point Credit Company Inc. 6.6875% Notes due 2028
ECL,Ecolab Inc. Common Stock
ECVT,Ecovyst Inc. Common Stock
ED,Consolidated Edison Inc. Common Stock
EDD,Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Common Stock
EDF,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest
EDI,Virtus Stone Harbor Emerging Markets Total Income Fund Common Shares of Beneficial Interest
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares
EDR,Endeavor Group Holdings Inc. Class A Common Stock
EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands)
EE,Excelerate Energy Inc. Class A Common Stock
EEA,The European Equity Fund Inc. Common Stock
EEX,Emerald Holding Inc. Common Stock
EFC,Ellington Financial Inc. Common Stock 
EFC-PA,Ellington Financial Inc. 6.750% Series A Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
EFC-PB,Ellington Financial Inc. 6.250% Series B Fixed-Rate Reset Cumulative Redeemable Preferred Stock
EFC-PC,Ellington Financial Inc. 8.625% Series C Fixed-Rate Reset Cumulative Redeemable Preferred Stock
EFR,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest
EFT,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest
EFX,Equifax Inc. Common Stock
EFXT,Enerflex Ltd Common Shares
EG,Everest Group Ltd. Common Stock
EGF,Blackrock Enhanced Government Fund Inc. Common Stock
EGGF,EG Acquisition Corp. Class A Common Stock
EGLE,Eagle Bulk Shipping Inc. Common Stock
EGO,Eldorado Gold Corporation Ordinary Shares
EGP,EastGroup Properties Inc. Common Stock
EGY,VAALCO Energy Inc.  Common Stock
EHAB,Enhabit Inc. Common Stock
EHC,Encompass Health Corporation Common Stock
EHI,Western Asset Global High Income Fund Inc Common Stock
EIC,Eagle Point Income Company Inc. Common Stock
EICA,Eagle Point Income Company Inc. 5.00% Series A Term Preferred Stock due 2026
EICB,Eagle Point Income Company Inc. 7.75% Series B Term Preferred Stock Due 2028
EIG,Employers Holdings Inc Common Stock
EIX,Edison International Common Stock
EL,Estee Lauder Companies Inc. (The) Common Stock
ELAN,Elanco Animal Health Incorporated Common Stock
ELC,Entergy Louisiana Inc. Collateral Trust Mortgage Bonds 4.875 % Series due September 1 2066
ELF,e.l.f. Beauty Inc. Common Stock
ELIQ,Electriq Power Holdings Inc. Class A Common Stock
ELME,Elme Communities Common Stock
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares)
ELS,Equity Lifestyle Properties Inc. Common Stock
ELV,Elevance Health Inc. Common Stock
EMD,Western Asset Emerging Markets Debt Fund Inc Common Stock
EME,EMCOR Group Inc. Common Stock
EMF,Templeton Emerging Markets Fund Common Stock
EMN,Eastman Chemical Company Common Stock
EMO,ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock
EMP,Entergy Mississippi LLC First Mortgage Bonds 4.90% Series Due October 1 2066
EMR,Emerson Electric Company Common Stock
ENB,Enbridge Inc Common Stock
ENFN,Enfusion Inc. Class A Common Stock
ENIC,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock)
ENJ,Entergy New Orleans LLC First Mortgage Bonds 5.0% Series due December 1 2052
ENLC,EnLink Midstream LLC Common Units representing Limited Partner Interests
ENO,Entergy New Orleans LLC First Mortgage Bonds 5.50% Series due April 1 2066
ENOV,Enovis Corporation Common Stock
ENR,Energizer Holdings Inc. Common Stock
ENS,EnerSys Common Stock
ENV,Envestnet Inc Common Stock
ENVA,Enova International Inc. Common Stock
ENZ,Enzo Biochem Inc. Common Stock ($0.01 Par Value)
EOD,Allspring Global Dividend Opportunity Fund Common Shares of Beneficial Interest
EOG,EOG Resources Inc. Common Stock
EOI,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest
EOS,Eaton Vance Enhance Equity Income Fund II Common Stock
EOT,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST
EP-PC,El Paso Corporation Preferred Stock
EPAC,Enerpac Tool Group Corp. Common Stock
EPAM,EPAM Systems Inc. Common Stock
EPC,Edgewell Personal Care Company Common Stock
EPD,Enterprise Products Partners L.P. Common Stock
EPR,EPR Properties Common Stock
EPR-PC,EPR Properties 5.75% Series C Cumulative Convertible Preferred Shares
EPR-PE,EPR Properties Series E Cumulative Conv Pfd Shs Ser E
EPR-PG,EPR Properties 5.750% Series G Cumulative Redeemable Preferred Shares
EPRT,Essential Properties Realty Trust Inc. Common Stock
EQBK,Equity Bancshares Inc. Class A Common Stock
EQC,Equity Commonwealth Common Shares of Beneficial Interest
EQC-PD,Equity Commonwealth 6.50% Pfd Conv Shs Ser D
EQH,Equitable Holdings Inc. Common Stock
EQH-PA,Equitable Holdings Inc. Depositary Shares
EQH-PC,Equitable Holdings Inc. Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series C
EQNR,Equinor ASA
EQR,Equity Residential Common Shares of Beneficial Interest
EQS,Equus Total Return Inc. Common Stock
EQT,EQT Corporation Common Stock
ERF,Enerplus Corporation Common Stock
ERJ,Embraer S.A. Common Stock
ERO,Ero Copper Corp. Common Shares
ES,Eversource Energy (D/B/A) Common Stock
ESAB,ESAB Corporation Common Stock
ESE,ESCO Technologies Inc. Common Stock
ESI,Element Solutions Inc. Common Stock
ESMT,EngageSmart Inc. Common Stock
ESNT,Essent Group Ltd. Common Shares
ESRT,Empire State Realty Trust Inc. Class A Common Stock
